## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /users/PYS1149/joyita/Geval/metrics/SRR11389067_InsertSize_histogram.pdf --MINIMUM_PCT 0.5 --INPUT /users/PYS1149/joyita/Geval/post_aligned/SRR11389067_fixed_sorted.bam --OUTPUT /users/PYS1149/joyita/Geval/metrics/SRR11389067_InsertSize.txt --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 05 07:36:56 EDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
67	56	25	2	181876188	72.716796	37.385268	9479995	FR	11	21	31	41	51	63	75	91	115	151	225			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	18
3	17
4	14
5	40
6	48
7	53
8	58
9	71
10	18079
11	20660
12	24042
13	27110
14	30720
15	33337
16	37332
17	40619
18	43834
19	47981
20	51803
21	55121
22	58383
23	62165
24	65366
25	67143
26	71602
27	74461
28	76801
29	80712
30	82846
31	84564
32	87765
33	89670
34	90751
35	93151
36	95268
37	96077
38	97910
39	99525
40	99774
41	100504
42	100563
43	102139
44	101249
45	102156
46	102553
47	102901
48	103073
49	104952
50	104634
51	104540
52	101352
53	104560
54	104942
55	105051
56	105073
57	105064
58	104131
59	104130
60	103815
61	101642
62	101650
63	101874
64	102223
65	100115
66	99354
67	98793
68	98511
69	96670
70	95970
71	95159
72	93496
73	93522
74	93238
75	91329
76	90417
77	87985
78	87539
79	87408
80	85847
81	84327
82	84004
83	81999
84	80691
85	80264
86	78603
87	78039
88	76265
89	75379
90	74589
91	73132
92	71538
93	70099
94	69324
95	67178
96	66359
97	64365
98	64112
99	62139
100	61107
101	59430
102	58906
103	57348
104	55778
105	54521
106	53647
107	51876
108	51740
109	49806
110	48866
111	47628
112	46402
113	45321
114	43758
115	42618
116	41762
117	41224
118	40076
119	38314
120	37832
121	36661
122	35939
123	34783
124	33695
125	33005
126	31689
127	31050
128	30403
129	28958
130	28094
131	27630
132	26409
133	26109
134	24734
135	24121
136	23118
137	22792
138	21768
139	21446
140	20511
141	19907
142	19162
143	18572
144	17929
145	17358
146	16880
147	16018
148	15598
149	14969
150	14795
151	13677
152	13425
153	12830
154	12293
155	12042
156	11788
157	11305
158	10955
159	10477
160	9798
161	9668
162	9270
163	8669
164	8613
165	8158
166	7976
167	7416
168	7428
169	7008
170	6683
171	6165
172	6305
173	5995
174	5758
175	5406
176	5075
177	5124
178	4893
179	4544
180	4411
181	4197
182	4032
183	3748
184	3575
185	3435
186	3437
187	3183
188	3043
189	2962
190	2827
191	2641
192	2504
193	2460
194	2309
195	2216
196	2002
197	1995
198	1931
199	1813
200	1756
201	1562
202	1661
203	1466
204	1450
205	1412
206	1252
207	1242
208	1110
209	1106
210	953
211	1025
212	902
213	902
214	894
215	823
216	706
217	746
218	637
219	563
220	542
221	593
222	589
223	567
224	471
225	454
226	436
227	407
228	372
229	344
230	333
231	340
232	321
233	252
234	288
235	258
236	248
237	215
238	236
239	197
240	202
241	176
242	182
243	160
244	149
245	137
246	161
247	134
248	116
249	97
250	104
251	99
252	93
253	90
254	69
255	83
256	60
257	76
258	63
259	52
260	59
261	52
262	45
263	53
264	40
265	31
266	43
267	32
268	27
269	28
270	21
271	33
272	27
273	26
274	41
275	19
276	31
277	16
278	24
279	20
280	12
281	10
282	10
283	11
284	11
285	15
286	9
287	9
288	9
289	17
290	13
291	9
292	10
293	7
294	7
295	11
296	8
297	11
298	5
299	2
300	9
301	3
302	3
303	5
304	5
306	3
307	2
308	5
309	2
310	1
311	3
312	2
313	1
314	2
315	1
317	2

