## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics --BAIT_INTERVALS ref/hglft_genome_2e9ec1_76c970.interval_list --TARGET_INTERVALS ref/hglft_genome_2e9ec1_76c970.interval_list --INPUT post_aligned/SRR5933778_fixed_sorted.bam --OUTPUT metrics/SRR5933778_HsMetrics.txt --REFERENCE_SEQUENCE ref/hg38.p14.fa --METRIC_ACCUMULATION_LEVEL ALL_READS --NEAR_DISTANCE 250 --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --CLIP_OVERLAPPING_READS true --INCLUDE_INDELS false --COVERAGE_CAP 200 --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Mar 08 20:33:36 BDT 2025

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
hglft_genome_2e9ec1_76c970	11918582	1	367693082	237286808	220907713	0.732521	0.267479	0.607777	30.850405	0.444077	0.376548	123.239489		0	0	0	0	0	0	11918582	3299210039	10150288	10150288	827994233	10150288	10065582	825887603	825887603	311779856	1	1	0.991655	26.15914	21	297	0	0.074446	0	0.000001	0.110614	0.020545	0.068239	0.423095	2.906571	0.917085	0.909159	0.798703	0.541408	0.329292	0.203497	0.126229	0.01212	0.000003	0	0	0	0	0	0	0	0	0.163597	4.904813	0.894289	10			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	988226	0
1	94466	0
2	95703	0
3	109275	0
4	128541	0
5	148779	0
6	172629	0
7	197141	7349
8	220867	1815127
9	243544	2386501
10	263273	670735
11	279406	1267976
12	297614	2139
13	310042	1379
14	318129	2388
15	321419	1019028
16	322788	338541
17	320613	137985
18	317652	360353
19	315662	159684
20	308791	6496009
21	297465	1716852
22	285489	1842284
23	271323	5552425
24	259505	3876559
25	246732	2595734
26	233251	2863864
27	219624	1716844
28	208626	6603944
29	197310	3510860
30	186486	3446437
31	178129	2133721
32	169600	3739713
33	161270	7504679
34	152471	6321770
35	145547	29449782
36	137660	16341254
37	129111	55699277
38	122219	150346746
39	116811	0
40	111794	0
41	106738	0
42	103101	0
43	97586	0
44	92909	0
45	88791	0
46	85214	0
47	81756	0
48	78414	0
49	74623	0
50	70787	0
51	67512	0
52	64602	0
53	62441	0
54	58940	0
55	56238	0
56	53125	0
57	51279	0
58	48764	0
59	46288	0
60	43884	0
61	42430	0
62	40305	0
63	38330	0
64	36316	0
65	34295	0
66	32766	0
67	31304	0
68	29426	0
69	28132	0
70	26793	0
71	25409	0
72	24172	0
73	22601	0
74	21579	0
75	20419	0
76	19143	0
77	18529	0
78	17657	0
79	16681	0
80	15623	0
81	15114	0
82	14210	0
83	13400	0
84	12659	0
85	12306	0
86	11775	0
87	11245	0
88	10839	0
89	10365	0
90	10037	0
91	9667	0
92	9372	0
93	8825	0
94	8328	0
95	7984	0
96	7634	0
97	7112	0
98	6848	0
99	6524	0
100	6299	0
101	5842	0
102	5670	0
103	5426	0
104	5200	0
105	5132	0
106	4881	0
107	4578	0
108	4402	0
109	4303	0
110	4036	0
111	3818	0
112	3791	0
113	3699	0
114	3412	0
115	3344	0
116	3130	0
117	3045	0
118	2987	0
119	2792	0
120	2759	0
121	2576	0
122	2458	0
123	2332	0
124	2231	0
125	2171	0
126	2059	0
127	1942	0
128	1947	0
129	1824	0
130	1642	0
131	1635	0
132	1551	0
133	1488	0
134	1323	0
135	1357	0
136	1307	0
137	1211	0
138	1216	0
139	1173	0
140	1032	0
141	970	0
142	951	0
143	949	0
144	870	0
145	824	0
146	854	0
147	833	0
148	777	0
149	698	0
150	732	0
151	668	0
152	595	0
153	642	0
154	543	0
155	489	0
156	483	0
157	471	0
158	493	0
159	434	0
160	432	0
161	409	0
162	410	0
163	354	0
164	346	0
165	368	0
166	331	0
167	299	0
168	251	0
169	274	0
170	233	0
171	227	0
172	215	0
173	222	0
174	195	0
175	178	0
176	183	0
177	152	0
178	179	0
179	146	0
180	127	0
181	116	0
182	127	0
183	124	0
184	99	0
185	113	0
186	102	0
187	84	0
188	80	0
189	89	0
190	86	0
191	82	0
192	88	0
193	79	0
194	73	0
195	67	0
196	53	0
197	60	0
198	76	0
199	63	0
200	964	0

