## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE metrics/SRR5933778_InsertSize_histogram.pdf --MINIMUM_PCT 0.5 --INPUT post_aligned/SRR5933778_fixed_sorted.bam --OUTPUT metrics/SRR5933778_InsertSize.txt --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Mar 08 20:34:49 BDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
229	154	78	2	225457876	259.849112	136.069238	4996466	FR	31	63	93	125	157	191	227	297	435	601	953			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	6
3	4
4	13
5	10
6	15
7	10
8	4
9	8
10	695
11	758
12	732
13	796
14	845
15	884
16	974
17	1029
18	1036
19	1178
20	1195
21	1111
22	1199
23	1305
24	1307
25	1325
26	1374
27	1491
28	1666
29	1688
30	1726
31	1770
32	1753
33	1774
34	1865
35	1816
36	1957
37	2036
38	2155
39	2211
40	2216
41	2300
42	2231
43	2356
44	2318
45	2303
46	2383
47	2509
48	2586
49	2779
50	2786
51	2816
52	2737
53	2766
54	2683
55	2750
56	2838
57	2753
58	2800
59	2883
60	2861
61	2938
62	2988
63	2835
64	2797
65	2786
66	2708
67	2614
68	2725
69	2722
70	2679
71	2651
72	2575
73	2451
74	2329
75	2252
76	2170
77	2045
78	2074
79	1878
80	1686
81	1549
82	1412
83	1195
84	1168
85	948
86	923
87	861
88	777
89	770
90	761
91	683
92	299
93	583
94	827
95	417
96	934
97	690
98	1497
99	1345
100	964
101	2340
102	844
103	11928
104	14942
105	15108
106	15154
107	15229
108	15584
109	15525
110	16026
111	16373
112	16656
113	16897
114	17013
115	16967
116	17103
117	17118
118	17463
119	17439
120	17661
121	17907
122	18229
123	18552
124	18324
125	18597
126	18457
127	18453
128	18679
129	18739
130	18903
131	18941
132	19353
133	19150
134	19382
135	19617
136	19502
137	19784
138	19698
139	19448
140	19634
141	19402
142	19616
143	20070
144	20091
145	19868
146	20041
147	20067
148	20053
149	20044
150	20336
151	19748
152	20057
153	20264
154	20432
155	20269
156	20389
157	20311
158	20321
159	20089
160	20103
161	19842
162	19866
163	19925
164	20103
165	20183
166	20132
167	19875
168	19895
169	19837
170	19825
171	19871
172	19740
173	19695
174	19992
175	19808
176	19873
177	19908
178	19490
179	19569
180	19197
181	19123
182	19123
183	18920
184	19141
