# This file was produced by samtools stats (1.21+htslib-1.21) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats post_aligned/SRR5933778_fixed_sorted.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	879ab762	c6597c07	99099db5
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	10150288	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	10150288
SN	is sorted:	1
SN	1st fragments:	5075144
SN	last fragments:	5075144
SN	reads mapped:	10065582
SN	reads mapped and paired:	10002174	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	84706
SN	reads properly paired:	9972458	# proper-pair bit set
SN	reads paired:	10150288	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	1109349	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	877
SN	supplementary alignments:	0
SN	total length:	827994233	# ignores clipping
SN	total first fragment length:	418149103	# ignores clipping
SN	total last fragment length:	409845130	# ignores clipping
SN	bases mapped:	826750866	# ignores clipping
SN	bases mapped (cigar):	825939428	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	3314085	# from NM fields
SN	error rate:	4.012504e-03	# mismatches / bases mapped (cigar)
SN	average length:	82
SN	average first fragment length:	82
SN	average last fragment length:	81
SN	maximum length:	131
SN	maximum first fragment length:	131
SN	maximum last fragment length:	131
SN	average quality:	34.8
SN	insert size average:	254.8
SN	insert size standard deviation:	126.3
SN	inward oriented pairs:	4806134
SN	outward oriented pairs:	190674
SN	pairs with other orientation:	382
SN	pairs on different chromosomes:	3897
SN	percentage of properly paired reads (%):	98.2
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	0	0	0	0	0	0	0	1	460	4398	0	0	0	0	2	3	0	6	3	1921	1972	4042	4436	2276	817	10765	240	452	1032	14275	7528	1494	42398	23530	47569	182015	4723509	0
FFQ	2	0	0	0	0	0	0	0	0	0	1	601	4927	0	0	0	0	1	0	4	5	3	1999	2177	4186	4877	2480	903	11377	216	482	1054	14636	7834	1563	44018	24432	49603	188981	4708635	0
FFQ	3	0	0	0	0	0	0	0	0	0	1	623	5237	0	0	2	0	1	0	3	9	3	2264	2283	4443	5001	2545	783	11829	168	541	1049	15322	8106	1537	45044	25279	50102	194518	4698124	0
FFQ	4	0	0	0	0	0	0	0	0	0	1	731	5984	0	0	0	0	2	1	1	7	3	2307	2517	5045	5637	2744	874	12345	180	606	1156	16202	8543	1637	48476	27357	53586	206582	4672051	0
FFQ	5	0	0	0	0	0	0	0	0	0	1	732	6367	0	0	1	0	0	0	2	2	3	2393	2671	5393	6080	2740	922	12805	135	629	1308	16832	9102	1907	50883	28866	55148	215644	4653729	0
FFQ	6	0	0	0	0	0	0	0	0	0	2	1101	8429	0	0	1	0	0	1	4	3	12	2715	2825	5620	6284	2866	948	13188	127	646	1348	18357	9867	3643	49066	29605	57235	223266	4636626	0
FFQ	7	0	0	0	0	0	0	0	0	0	9	1090	9089	0	0	2	0	1	1	2	6	7	3147	2988	5853	6623	2974	1213	13730	118	648	1447	20493	11119	6819	45544	30505	58802	231193	4619756	0
FFQ	8	0	0	0	0	0	0	0	0	0	4	1122	9583	0	0	1	2	0	0	4	152	159	3034	3056	6028	7037	3038	1315	14151	116	716	1467	22746	12363	10058	41195	31760	60565	238026	4604688	0
FFQ	9	0	0	0	0	0	0	0	0	0	1	1121	9731	0	0	0	0	0	2	2	268	348	2848	3167	6167	7167	3145	1395	14646	118	726	1509	23447	13032	10576	43011	32911	62691	246741	4586627	0
FFQ	10	0	0	0	0	0	0	0	0	0	4	1217	10346	0	0	0	1	0	0	1	920	1115	1344	3274	6340	7307	3228	1525	15002	109	747	1651	24179	13086	10607	44901	34091	64218	253600	4571535	0
