## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /users/PYS1149/joyita/Geval/post_aligned/SRR11389067_fixed_sorted.bam --OUTPUT /users/PYS1149/joyita/Geval/post_aligned/SRR11389067_fixed_sorted_markdup.bam --METRICS_FILE /users/PYS1149/joyita/Geval/post_aligned/SRR11389067_markdup.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 05 07:07:15 EDT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	160112	9493014	19765	224924	151304	4846524	0	0.514169	5749427

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	2449842	2449842
2.0	1.191834	1049918	1049918
3.0	1.228635	515922	515922
4.0	1.235694	273932	273932
5.0	1.237048	151137	151137
6.0	1.237308	85064	85064
7.0	1.237358	48535	48535
8.0	1.237368	28433	28433
9.0	1.237369	16974	16974
10.0	1.23737	10246	10246
11.0	1.23737	6040	6040
12.0	1.23737	3808	3808
13.0	1.23737	2321	2321
14.0	1.23737	1500	1500
15.0	1.23737	987	987
16.0	1.23737	597	597
17.0	1.23737	395	395
18.0	1.23737	275	275
19.0	1.23737	191	191
20.0	1.23737	124	124
21.0	1.23737	77	77
22.0	1.23737	39	39
23.0	1.23737	32	32
24.0	1.23737	29	29
25.0	1.23737	17	17
26.0	1.23737	15	15
27.0	1.23737	13	13
28.0	1.23737	7	7
29.0	1.23737	6	6
30.0	1.23737	3	3
31.0	1.23737	4	4
32.0	1.23737	1	1
33.0	1.23737	1	1
34.0	1.23737	2	2
35.0	1.23737	2	2
36.0	1.23737	0	0
37.0	1.23737	0	0
38.0	1.23737	1	1
39.0	1.23737	0	0
40.0	1.23737	0	0
41.0	1.23737	0	0
42.0	1.23737	0	0
43.0	1.23737	0	0
44.0	1.23737	0	0
45.0	1.23737	0	0
46.0	1.23737	0	0
47.0	1.23737	0	0
48.0	1.23737	0	0
49.0	1.23737	0	0
50.0	1.23737	0	0
51.0	1.23737	0	0
52.0	1.23737	0	0
53.0	1.23737	0	0
54.0	1.23737	0	0
55.0	1.23737	0	0
56.0	1.23737	0	0
57.0	1.23737	0	0
58.0	1.23737	0	0
59.0	1.23737	0	0
60.0	1.23737	0	0
61.0	1.23737	0	0
62.0	1.23737	0	0
63.0	1.23737	0	0
64.0	1.23737	0	0
65.0	1.23737	0	0
66.0	1.23737	0	0
67.0	1.23737	0	0
68.0	1.23737	0	0
69.0	1.23737	0	0
70.0	1.23737	0	0
71.0	1.23737	0	0
72.0	1.23737	0	0
73.0	1.23737	0	0
74.0	1.23737	0	0
75.0	1.23737	0	0
76.0	1.23737	0	0
77.0	1.23737	0	0
78.0	1.23737	0	0
79.0	1.23737	0	0
80.0	1.23737	0	0
81.0	1.23737	0	0
82.0	1.23737	0	0
83.0	1.23737	0	0
84.0	1.23737	0	0
85.0	1.23737	0	0
86.0	1.23737	0	0
87.0	1.23737	0	0
88.0	1.23737	0	0
89.0	1.23737	0	0
90.0	1.23737	0	0
91.0	1.23737	0	0
92.0	1.23737	0	0
93.0	1.23737	0	0
94.0	1.23737	0	0
95.0	1.23737	0	0
96.0	1.23737	0	0
97.0	1.23737	0	0
98.0	1.23737	0	0
99.0	1.23737	0	0
100.0	1.23737	0	0

