## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT post_aligned/SRR5933778_fixed_sorted.bam --OUTPUT post_aligned/SRR5933778_fixed_sorted_markdup.bam --METRICS_FILE post_aligned/SRR5933778_markdup.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Mar 08 20:12:18 BDT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	63408	5001087	877	84706	29793	199366	0	0.042573	61047672

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	4621661	4621661
2.0	1.921345	164866	164866
3.0	2.770221	12477	12477
4.0	3.552328	1925	1925
5.0	4.272919	487	487
6.0	4.936831	173	173
7.0	5.548524	76	76
8.0	6.112103	25	25
9.0	6.631354	10	10
10.0	7.109763	6	6
11.0	7.550543	5	5
12.0	7.956653	2	2
13.0	8.33082	2	2
14.0	8.675557	0	0
15.0	8.993179	0	0
16.0	9.285818	3	3
17.0	9.55544	1	1
18.0	9.803854	1	1
19.0	10.032729	0	0
20.0	10.243602	1	1
21.0	10.437889	0	0
22.0	10.616894	0	0
23.0	10.781819	0	0
24.0	10.933772	0	0
25.0	11.073774	0	0
26.0	11.202763	0	0
27.0	11.321607	0	0
28.0	11.431103	0	0
29.0	11.531986	0	0
30.0	11.624935	0	0
31.0	11.710572	0	0
32.0	11.789474	0	0
33.0	11.86217	0	0
34.0	11.929148	0	0
35.0	11.990857	0	0
36.0	12.047713	0	0
37.0	12.100097	0	0
38.0	12.148361	0	0
39.0	12.192828	0	0
40.0	12.233798	0	0
41.0	12.271545	0	0
42.0	12.306324	0	0
43.0	12.338367	0	0
44.0	12.367889	0	0
45.0	12.395089	0	0
46.0	12.42015	0	0
47.0	12.44324	0	0
48.0	12.464514	0	0
49.0	12.484114	0	0
50.0	12.502173	0	0
51.0	12.518811	0	0
52.0	12.534141	0	0
53.0	12.548264	0	0
54.0	12.561277	0	0
55.0	12.573267	0	0
56.0	12.584313	0	0
57.0	12.59449	0	0
58.0	12.603867	0	0
59.0	12.612507	0	0
60.0	12.620467	0	0
61.0	12.627801	0	0
62.0	12.634558	0	0
63.0	12.640783	0	0
64.0	12.646519	0	0
65.0	12.651804	0	0
66.0	12.656673	0	0
67.0	12.661159	0	0
68.0	12.665292	0	0
69.0	12.6691	0	0
70.0	12.672608	0	0
71.0	12.675841	0	0
72.0	12.678819	0	0
73.0	12.681563	0	0
74.0	12.684092	0	0
75.0	12.686421	0	0
76.0	12.688567	0	0
77.0	12.690544	0	0
78.0	12.692366	0	0
79.0	12.694045	0	0
80.0	12.695591	0	0
81.0	12.697016	0	0
82.0	12.698329	0	0
83.0	12.699539	0	0
84.0	12.700653	0	0
85.0	12.70168	0	0
86.0	12.702626	0	0
87.0	12.703497	0	0
88.0	12.7043	0	0
89.0	12.70504	0	0
90.0	12.705722	0	0
91.0	12.70635	0	0
92.0	12.706928	0	0
93.0	12.707462	0	0
94.0	12.707953	0	0
95.0	12.708405	0	0
96.0	12.708822	0	0
97.0	12.709207	0	0
98.0	12.70956	0	0
99.0	12.709887	0	0
100.0	12.710187	0	0

