## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics --BAIT_INTERVALS interval/Illumina_Exome_TargetedRegions_v1.2.hg38.interval_list --TARGET_INTERVALS interval/Illumina_Exome_TargetedRegions_v1.2.hg38.interval_list --INPUT post_aligned/ERR2828367_fixed_sorted.bam --OUTPUT metrics/ERR2828367_HsMetrics.txt --REFERENCE_SEQUENCE ../ref/hg38.p14.fa --METRIC_ACCUMULATION_LEVEL ALL_READS --NEAR_DISTANCE 250 --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --CLIP_OVERLAPPING_READS true --INCLUDE_INDELS false --COVERAGE_CAP 200 --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jul 01 11:30:38 EDT 2025

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Illumina_Exome_TargetedRegions_v1	45230200	1	3164964787	1930986392	1836613842	0.735074	0.264926	0.621074	69.974592	0.455486	0.371149	33.300932		0	0	0	0	0	0	45230200	3299210039	88012454	88012454	6948551288	88012454	86951002	6932565021	6932565021	2578947546	1	1	0.98794	57.018265	52	974	0	0.077258	0	0	0.11332	0.016646	0.090153	0.407879	2.375761	0.906936	0.902252	0.87893	0.83212	0.75494	0.650961	0.53442	0.128927	0.00163	0.000047	0	0	0	0	0	0	0	7.783757	1.679174	0.900632	10			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	4209297	0
1	211880	0
2	144006	0
3	125943	0
4	120051	0
5	121089	0
6	125878	0
7	132244	0
8	138176	0
9	147464	0
10	158595	0
11	168467	0
12	178806	0
13	193203	0
14	205053	5926935
15	216028	4729656
16	229818	42949837
17	242407	0
18	255739	0
19	269122	0
20	284420	0
21	298358	0
22	313554	0
23	326373	0
24	341038	0
25	356819	0
26	372630	0
27	385564	42091816
28	399294	3230262
29	412791	0
30	425671	31536857
31	436935	33252182
32	447767	0
33	457342	0
34	468470	94696611
35	476914	38014312
36	484287	115839892
37	494211	74928525
38	502049	143122523
39	509332	677134503
40	513831	1312315332
41	517875	0
42	524120	0
43	527834	0
44	529296	0
45	531842	0
46	532722	0
47	531905	0
48	530686	0
49	531067	0
50	528483	0
51	525833	0
52	522576	0
53	522069	0
54	516526	0
55	511688	0
56	508113	0
57	503392	0
58	496659	0
59	490106	0
60	483617	0
61	476705	0
62	468684	0
63	461853	0
64	454476	0
65	447517	0
66	439601	0
67	431889	0
68	425042	0
69	415804	0
70	406517	0
71	397737	0
72	389831	0
73	382410	0
74	373882	0
75	365062	0
76	356521	0
77	348902	0
78	341208	0
79	332926	0
80	324713	0
81	315289	0
82	307664	0
83	299670	0
84	289556	0
85	280932	0
86	274425	0
87	265182	0
88	258035	0
89	250974	0
90	243484	0
91	236270	0
92	230633	0
93	224041	0
94	217845	0
95	211345	0
96	204076	0
97	199782	0
98	193238	0
99	187745	0
100	182694	0
101	177287	0
102	172161	0
103	166767	0
104	161081	0
105	155706	0
106	151336	0
107	146681	0
108	142490	0
109	137988	0
110	133344	0
111	128664	0
112	123983	0
113	121366	0
114	117296	0
115	113534	0
116	110556	0
117	105964	0
118	102515	0
119	98342	0
120	95798	0
121	92376	0
122	88590	0
123	86649	0
124	83703	0
125	80802	0
126	78677	0
127	75940	0
128	74232	0
129	71728	0
130	69941	0
131	67887	0
132	66126	0
133	63697	0
134	61542	0
135	59612	0
136	57755	0
137	55849	0
138	53843	0
139	52478	0
140	51045	0
141	49601	0
142	47439	0
143	46321	0
144	44620	0
145	43320	0
146	42528	0
147	40628	0
148	39262	0
149	37598	0
150	36952	0
151	35426	0
152	34377	0
153	33139	0
154	31865	0
155	30868	0
156	29993	0
157	28910	0
158	28201	0
159	27469	0
160	26659	0
161	25542	0
162	24792	0
163	23606	0
164	23668	0
165	23036	0
166	22453	0
167	21451	0
168	20846	0
169	20160	0
170	19443	0
171	18793	0
172	18119	0
173	17222	0
174	16966	0
175	16579	0
176	15909	0
177	15352	0
178	15191	0
179	14398	0
180	13847	0
181	13672	0
182	13072	0
183	12795	0
184	12259	0
185	11729	0
186	11493	0
187	11321	0
188	10699	0
189	10515	0
190	9957	0
191	9765	0
192	9352	0
193	9038	0
194	8870	0
195	8582	0
196	8372	0
197	8155	0
198	7933	0
199	7781	0
200	275475	0

