## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics --BAIT_INTERVALS interval/Illumina_Exome_TargetedRegions_v1.2.hg38.interval_list --TARGET_INTERVALS interval/Illumina_Exome_TargetedRegions_v1.2.hg38.interval_list --INPUT post_aligned/ERR2828406_fixed_sorted.bam --OUTPUT metrics/ERR2828406_HsMetrics.txt --REFERENCE_SEQUENCE ../ref/hg38.p14.fa --METRIC_ACCUMULATION_LEVEL ALL_READS --NEAR_DISTANCE 250 --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --CLIP_OVERLAPPING_READS true --INCLUDE_INDELS false --COVERAGE_CAP 200 --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jul 01 11:29:39 EDT 2025

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Illumina_Exome_TargetedRegions_v1	45230200	1	3158573485	1683083065	1669946877	0.743543	0.256457	0.652375	69.833286	0.48429	0.376983	35.382173		0	0	0	0	0	0	45230200	3299210039	82418328	82418328	6522074955	82418328	81925728	6511603427	6511603427	2458712693	1	1	0.994023	54.359978	48	1402	0	0.07847	0	0	0.115152	0.016597	0.123472	0.367193	2.717999	0.904735	0.899426	0.867117	0.804966	0.714243	0.602833	0.48731	0.121834	0.002376	0.000059	0.000003	0	0	0	0	0	0	8.155424	2.036646	0.896709	10			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	4308861	0
1	240129	0
2	179176	0
3	164050	0
4	166186	0
5	172322	0
6	178051	0
7	190108	0
8	200495	0
9	210932	0
10	224359	12824
11	235485	201589
12	247960	180994
13	259651	4448854
14	274526	9176282
15	287399	14332659
16	300140	27109757
17	313483	0
18	327048	1611
19	341072	1664
20	354128	51535
21	366851	83556
22	378883	753548
23	390654	115936
24	403247	3502921
25	418173	1974007
26	431725	51595
27	443177	37540334
28	451841	3162983
29	464723	182251
30	473948	31165501
31	482248	33385206
32	490035	733925
33	497014	353236
34	503437	93315063
35	508463	39623839
36	514347	113112240
37	519613	73248241
38	522482	134723258
39	527532	654694773
40	529362	1219118356
41	528837	0
42	527299	0
43	526121	0
44	526353	0
45	523711	0
46	521235	0
47	518426	0
48	513669	0
49	510095	0
50	505783	0
51	500388	0
52	495926	0
53	489192	0
54	484158	0
55	477349	0
56	470767	0
57	463425	0
58	458523	0
59	451050	0
60	442932	0
61	435532	0
62	426336	0
63	419075	0
64	411659	0
65	403668	0
66	393967	0
67	386823	0
68	377542	0
69	370780	0
70	363472	0
71	352743	0
72	345250	0
73	337286	0
74	328857	0
75	319871	0
76	312069	0
77	304423	0
78	298549	0
79	289643	0
80	282957	0
81	275419	0
82	269054	0
83	261898	0
84	254929	0
85	248344	0
86	240703	0
87	233063	0
88	226893	0
89	220200	0
90	213978	0
91	209011	0
92	204029	0
93	197222	0
94	192466	0
95	187787	0
96	181882	0
97	176499	0
98	171206	0
99	165970	0
100	161247	0
101	155868	0
102	150826	0
103	147357	0
104	142247	0
105	138443	0
106	134189	0
107	130654	0
108	126438	0
109	122995	0
110	118997	0
111	115982	0
112	111977	0
113	108747	0
114	105640	0
115	102258	0
116	99545	0
117	96533	0
118	93631	0
119	91433	0
120	88663	0
121	85754	0
122	82980	0
123	81081	0
124	78367	0
125	75967	0
126	73642	0
127	70966	0
128	68745	0
129	66821	0
130	64600	0
131	62852	0
132	61139	0
133	59129	0
134	57184	0
135	55241	0
136	53921	0
137	52110	0
138	50501	0
139	48608	0
140	47477	0
141	45879	0
142	44601	0
143	43221	0
144	41999	0
145	40806	0
146	40131	0
147	38554	0
148	37555	0
149	36580	0
150	35454	0
151	34346	0
152	33402	0
153	32410	0
154	31322	0
155	30945	0
156	29783	0
157	29450	0
158	28365	0
159	28188	0
160	26689	0
161	26253	0
162	25238	0
163	24736	0
164	24144	0
165	23072	0
166	22188	0
167	21828	0
168	21013	0
169	20392	0
170	19827	0
171	18946	0
172	18553	0
173	17830	0
174	17534	0
175	16888	0
176	16550	0
177	15961	0
178	15561	0
179	15175	0
180	14534	0
181	14010	0
182	13918	0
183	13350	0
184	13438	0
185	12729	0
186	12241	0
187	12284	0
188	11973	0
189	11684	0
190	11235	0
191	11030	0
192	10620	0
193	10590	0
194	10229	0
195	9838	0
196	9460	0
197	9119	0
198	9002	0
199	8724	0
200	348458	0

