## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE metrics/ERR2828408_InsertSize_histogram.pdf --MINIMUM_PCT 0.5 --INPUT post_aligned/ERR2828408_fixed_sorted.bam --OUTPUT metrics/ERR2828408_InsertSize.txt --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jul 01 11:37:54 EDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
156	126	40	2	236309800	173.269015	72.352533	39666496	FR	17	33	49	65	81	99	121	151	233	327	535			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	79
3	86
4	93
5	84
6	94
7	113
8	123
9	137
10	149
11	125
12	144
13	169
14	171
15	214
16	208
17	213
18	226
19	738
20	526
21	425
22	367
23	296
24	329
25	307
26	301
27	354
28	370
29	380
30	386
31	425
32	427
33	431
34	440
35	492
36	543
37	522
38	543
39	583
40	628
41	691
42	672
43	810
44	865
45	934
46	1023
47	1193
48	1230
49	1511
50	1810
51	1934
52	2232
53	2499
54	2929
55	3375
56	3804
57	4634
58	5404
59	6185
60	7064
61	8170
62	9556
63	11147
64	12804
65	14698
66	16796
67	19293
68	22307
69	25024
70	28327
71	32341
72	36061
73	40940
74	45949
75	51469
76	56590
77	62885
78	69102
79	75530
80	83124
81	89486
82	97770
83	105849
84	113752
85	122169
86	129988
87	138229
88	146010
89	155608
90	163766
91	172063
92	180514
93	188119
94	196396
95	203444
96	211293
97	217957
98	224900
99	231398
100	237756
101	244638
102	249231
103	255063
104	260246
105	264125
106	268993
107	273170
108	276679
109	280562
110	283321
111	286092
112	288991
113	290883
114	294134
115	294195
116	295778
117	297885
118	298868
119	299311
120	300767
121	300024
122	300780
123	300857
124	300334
125	301525
126	301562
127	300138
128	300090
129	298587
130	298865
131	297041
132	296990
133	294151
134	293867
135	293154
136	291342
137	289369
138	288633
139	287171
140	284623
141	282484
142	281529
143	278944
144	276912
145	274684
146	273157
147	271268
148	270068
149	268418
150	265886
151	264044
152	260830
153	258835
154	256090
155	253999
156	251248
157	249171
158	248161
159	245740
160	242608
161	240039
162	238198
163	235341
164	232584
165	230813
166	228604
167	226470
168	223237
169	221332
170	219754
171	216999
172	213965
173	212201
174	209772
175	207548
176	206019
177	202651
178	200032
179	197647
180	196506
181	193371
182	191575
183	189554
184	186470
185	184266
186	182738
187	179318
188	177846
189	176054
190	173412
191	171074
192	169409
193	167374
194	165322
195	163207
196	161539
197	158265
198	157718
199	154990
200	153334
201	152094
202	149310
203	148156
204	145150
205	143599
206	141446
207	140073
208	137524
209	135143
210	134922
211	132343
212	131040
213	128920
214	127968
215	126308
216	123937
