## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT post_aligned/ERR2828367_fixed_sorted.bam --OUTPUT post_aligned/ERR2828367_fixed_sorted_markdup.bam --METRICS_FILE post_aligned/ERR2828367_markdup.txt --CREATE_INDEX true  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jun 25 11:15:13 EDT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	869196	43040903	9557	1061452	290073	1068736	0	0.027919	852279922

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	40923823	40923823
2.0	1.950753	1028399	1028399
3.0	2.854684	19507	19507
4.0	3.7141	429	429
5.0	4.531192	9	9
6.0	5.308045	0	0
7.0	6.04664	0	0
8.0	6.748861	0	0
9.0	7.416501	0	0
10.0	8.051261	0	0
11.0	8.654761	0	0
12.0	9.228541	0	0
13.0	9.774063	0	0
14.0	10.292721	0	0
15.0	10.785836	0	0
16.0	11.254667	0	0
17.0	11.700409	0	0
18.0	12.1242	0	0
19.0	12.52712	0	0
20.0	12.910198	0	0
21.0	13.27441	0	0
22.0	13.620686	0	0
23.0	13.94991	0	0
24.0	14.262919	0	0
25.0	14.560514	0	0
26.0	14.843454	0	0
27.0	15.112459	0	0
28.0	15.368217	0	0
29.0	15.61138	0	0
30.0	15.842567	0	0
31.0	16.062369	0	0
32.0	16.271347	0	0
33.0	16.470033	0	0
34.0	16.658935	0	0
35.0	16.838533	0	0
36.0	17.009287	0	0
37.0	17.171632	0	0
38.0	17.325982	0	0
39.0	17.472731	0	0
40.0	17.612252	0	0
41.0	17.744903	0	0
42.0	17.871021	0	0
43.0	17.990928	0	0
44.0	18.10493	0	0
45.0	18.213318	0	0
46.0	18.316368	0	0
47.0	18.414343	0	0
48.0	18.507494	0	0
49.0	18.596056	0	0
50.0	18.680258	0	0
51.0	18.760312	0	0
52.0	18.836425	0	0
53.0	18.908789	0	0
54.0	18.977589	0	0
55.0	19.043001	0	0
56.0	19.105192	0	0
57.0	19.16432	0	0
58.0	19.220536	0	0
59.0	19.273984	0	0
60.0	19.324799	0	0
61.0	19.373112	0	0
62.0	19.419046	0	0
63.0	19.462718	0	0
64.0	19.504239	0	0
65.0	19.543715	0	0
66.0	19.581247	0	0
67.0	19.616931	0	0
68.0	19.650857	0	0
69.0	19.683113	0	0
70.0	19.71378	0	0
71.0	19.742937	0	0
72.0	19.770658	0	0
73.0	19.797014	0	0
74.0	19.822072	0	0
75.0	19.845896	0	0
76.0	19.868546	0	0
77.0	19.890081	0	0
78.0	19.910556	0	0
79.0	19.930022	0	0
80.0	19.94853	0	0
81.0	19.966126	0	0
82.0	19.982856	0	0
83.0	19.998762	0	0
84.0	20.013884	0	0
85.0	20.028262	0	0
86.0	20.041931	0	0
87.0	20.054928	0	0
88.0	20.067284	0	0
89.0	20.079032	0	0
90.0	20.090202	0	0
91.0	20.100821	0	0
92.0	20.110917	0	0
93.0	20.120516	0	0
94.0	20.129643	0	0
95.0	20.13832	0	0
96.0	20.146569	0	0
97.0	20.154413	0	0
98.0	20.16187	0	0
99.0	20.16896	0	0
100.0	20.1757	0	0

