## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics --BAIT_INTERVALS /users/PYS1149/joyita/Geval/ref/hglft_genome_2e9ec1_76c970.interval_list --TARGET_INTERVALS /users/PYS1149/joyita/Geval/ref/hglft_genome_2e9ec1_76c970.interval_list --INPUT /users/PYS1149/joyita/Geval/post_aligned/SRR11389067_fixed_sorted.bam --OUTPUT /users/PYS1149/joyita/Geval/metrics/SRR11389067_HsMetrics.txt --REFERENCE_SEQUENCE /users/PYS1149/joyita/Geval/ref/hg38.p14.fa --METRIC_ACCUMULATION_LEVEL ALL_READS --NEAR_DISTANCE 250 --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --CLIP_OVERLAPPING_READS true --INCLUDE_INDELS false --COVERAGE_CAP 200 --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 05 07:35:02 EDT 2025

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
hglft_genome_2e9ec1_76c970	11918582	1	785791029	134836668	429908158	0.681676	0.318324	0.853538	65.929909	0.579806	0.358198	161.059492		0	0	0	0	0	0	11918582	3299210039	19371064	19371064	1355265639	19371064	19146140	1350535855	1350535855	485454112	1	1	0.988389	40.730861	0	6974	0	0.93634	0	0	0.046306	0.017522	0.325412	0.251316	?	0.042472	0.034457	0.031537	0.031212	0.031044	0.030932	0.030829	0.030409	0.028886	0.025253	0.017162	0.003432	0.000097	0	0	0	0	7.5155	4.813076	0.036412	0			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	11412373	0
1	95536	0
2	21073	0
3	5550	0
4	2745	0
5	1908	0
6	1273	0
7	874	0
8	716	0
9	662	0
10	625	0
11	628	0
12	458	0
13	410	0
14	438	1875962
15	322	0
16	276	0
17	238	0
18	221	0
19	259	0
20	251	0
21	239	474579
22	200	0
23	195	0
24	181	0
25	183	0
26	193	0
27	175	1173001
28	188	0
29	188	0
30	133	0
31	146	0
32	145	4831291
33	155	0
34	124	0
35	116	0
36	137	64428525
37	121	0
38	126	0
39	135	0
40	139	0
41	120	0
42	122	0
43	124	0
44	122	0
45	116	0
46	111	0
47	119	0
48	138	0
49	113	0
50	105	0
51	93	0
52	84	0
53	92	0
54	81	0
55	86	0
56	93	0
57	98	0
58	94	0
59	115	0
60	99	0
61	96	0
62	71	0
63	83	0
64	84	0
65	96	0
66	97	0
67	85	0
68	93	0
69	117	0
70	98	0
71	103	0
72	116	0
73	99	0
74	106	0
75	115	0
76	110	0
77	103	0
78	101	0
79	130	0
80	113	0
81	110	0
82	110	0
83	100	0
84	114	0
85	114	0
86	127	0
87	102	0
88	106	0
89	110	0
90	96	0
91	95	0
92	99	0
93	91	0
94	92	0
95	96	0
96	105	0
97	85	0
98	110	0
99	89	0
100	96	0
101	105	0
102	116	0
103	140	0
104	106	0
105	112	0
106	93	0
107	101	0
108	98	0
109	93	0
110	85	0
111	113	0
112	79	0
113	86	0
114	103	0
115	106	0
116	102	0
117	87	0
118	100	0
119	119	0
120	129	0
121	103	0
122	126	0
123	99	0
124	95	0
125	99	0
126	118	0
127	119	0
128	88	0
129	97	0
130	103	0
131	111	0
132	118	0
133	109	0
134	117	0
135	119	0
136	122	0
137	131	0
138	142	0
139	99	0
140	126	0
141	128	0
142	118	0
143	103	0
144	117	0
145	123	0
146	133	0
147	116	0
148	103	0
149	115	0
150	119	0
151	97	0
152	115	0
153	107	0
154	112	0
155	118	0
156	119	0
157	116	0
158	118	0
159	106	0
160	118	0
161	133	0
162	131	0
163	104	0
164	115	0
165	117	0
166	108	0
167	127	0
168	101	0
169	105	0
170	113	0
171	130	0
172	96	0
173	113	0
174	126	0
175	108	0
176	117	0
177	110	0
178	108	0
179	110	0
180	122	0
181	102	0
182	106	0
183	113	0
184	118	0
185	119	0
186	100	0
187	100	0
188	119	0
189	113	0
190	123	0
191	120	0
192	148	0
193	113	0
194	135	0
195	128	0
196	115	0
197	124	0
198	132	0
199	131	0
200	351171	0

